date,country,yield,yield_de,spread,spread_change_1m,spread_vol_3m,hicp_inflation,unemployment_rate
2019-01-01,DE,,,,,,1.7,3.0
2019-02-01,DE,,,,,,1.7,3.0
2019-03-01,DE,,,,,,1.4,3.0
2019-04-01,DE,,,,,,2.1,2.9
2019-05-01,DE,,,,,,1.3,2.9
2019-06-01,DE,,,,,,1.5,2.9
2019-07-01,DE,,,,,,1.1,2.9
2019-08-01,DE,,,,,,1.0,2.9
2019-09-01,DE,,,,,,0.9,2.9
2019-10-01,DE,,,,,,0.9,2.9
2019-11-01,DE,,,,,,1.2,3.0
2019-12-01,DE,,,,,,1.5,3.1
2020-01-01,DE,,,,,,1.6,3.2
2020-02-01,DE,,,,,,1.7,3.3
2020-03-01,DE,,,,,,1.3,3.4
2020-04-01,DE,,,,,,0.8,3.5
2020-05-01,DE,,,,,,0.5,3.7
2020-06-01,DE,,,,,,0.8,3.8
2020-07-01,DE,,,,,,0.0,3.8
2020-08-01,DE,,,,,,-0.1,3.9
2020-09-01,DE,,,,,,-0.4,3.8
2020-10-01,DE,,,,,,-0.5,3.8
2020-11-01,DE,,,,,,-0.7,3.8
2020-12-01,DE,,,,,,-0.7,3.8
2021-01-01,DE,,,,,,1.6,3.9
2021-02-01,DE,,,,,,1.6,3.9
2021-03-01,DE,,,,,,2.0,3.9
2021-04-01,DE,,,,,,2.1,3.8
2021-05-01,DE,,,,,,2.4,3.7
2021-06-01,DE,,,,,,2.1,3.6
2021-07-01,DE,,,,,,3.1,3.5
2021-08-01,DE,,,,,,3.4,3.4
2021-09-01,DE,,,,,,4.1,3.4
2021-10-01,DE,,,,,,4.6,3.4
2021-11-01,DE,,,,,,6.0,3.4
2021-12-01,DE,,,,,,5.7,3.4
2022-01-01,DE,,,,,,5.1,3.3
2022-02-01,DE,,,,,,5.5,3.2
2022-03-01,DE,,,,,,7.6,3.2
2022-04-01,DE,,,,,,7.8,3.1
2022-05-01,DE,,,,,,8.7,3.1
2022-06-01,DE,,,,,,8.2,3.1
2022-07-01,DE,,,,,,8.5,3.1
2022-08-01,DE,,,,,,8.8,3.1
2022-09-01,DE,,,,,,10.9,3.2
2022-10-01,DE,,,,,,11.6,3.1
2022-11-01,DE,,,,,,11.3,3.1
2022-12-01,DE,,,,,,9.6,3.1
2023-01-01,DE,,,,,,9.2,3.0
2023-02-01,DE,,,,,,9.3,3.0
2023-03-01,DE,,,,,,7.8,3.0
2023-04-01,DE,,,,,,7.6,3.0
2023-05-01,DE,,,,,,6.3,3.0
2023-06-01,DE,,,,,,6.8,3.0
2023-07-01,DE,,,,,,6.5,3.0
2023-08-01,DE,,,,,,6.4,3.1
2023-09-01,DE,,,,,,4.3,3.1
2023-10-01,DE,,,,,,3.0,3.1
2023-11-01,DE,,,,,,2.3,3.2
2023-12-01,DE,,,,,,3.8,3.2
2024-01-01,DE,,,,,,3.1,3.2
2024-02-01,DE,,,,,,2.7,3.2
2024-03-01,DE,,,,,,2.3,3.3
2024-04-01,DE,,,,,,2.4,3.4
2024-05-01,DE,,,,,,2.8,3.4
2024-06-01,DE,,,,,,2.5,3.4
2024-07-01,DE,,,,,,2.6,3.4
2024-08-01,DE,,,,,,2.0,3.4
2024-09-01,DE,,,,,,1.8,3.4
2024-10-01,DE,,,,,,2.4,3.4
2024-11-01,DE,,,,,,2.4,3.4
2024-12-01,DE,,,,,,2.8,3.5
2025-01-01,DE,,,,,,2.8,3.5
2025-02-01,DE,,,,,,2.6,3.6
2025-03-01,DE,,,,,,2.3,3.6
2025-04-01,DE,,,,,,2.2,3.7
2025-05-01,DE,,,,,,2.1,3.7
2025-06-01,DE,,,,,,2.0,3.8
2025-07-01,DE,,,,,,1.8,3.8
2025-08-01,DE,,,,,,2.1,3.8
2025-09-01,DE,,,,,,2.4,3.8
2025-10-01,DE,,,,,,2.3,3.9
2025-11-01,DE,,,,,,2.6,3.9
2025-12-01,DE,,,,,,2.0,4.0
2026-01-01,DE,,,,,,,4.0
2019-01-01,ES,1.376,0.13,1.246,,,1.0,14.3
2019-02-01,ES,1.306,0.06,1.246,0.0,,1.1,14.2
2019-03-01,ES,1.134,0.01,1.124,-0.1220000000000001,0.0862670273047588,1.3,14.2
2019-04-01,ES,1.049,-0.04,1.089,-0.0349999999999999,0.0628198482434759,1.6,14.2
